,County Name,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Pharmacies,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H
0,ABBEVILLE,129.0,1.0,41.5,2.98,307.0,461725.0,7775082.0,15257.9,156877.0,,,9.0,22.3,0.4865741501067498,0.44069526697978,0.0205698801116767
1,ACCOMACK,166.0,1.0,,,,,,,,,,13.0,18.8,0.4923322587448405,0.4851188655395525,0.0966828357084751
2,ADA,3673.0,7.0,34.8,3.11,4373.0,31178864.0,1766062288.0,1618447.3,4636604.44,68.0,3.0,6.0,20.3,0.5055703623192596,0.2531373553670273,0.0948011878814508
3,ADAIR,0.0,4.0,36.99021505376344,2.946225806451613,930.0,4245576.0,17731507.0,35415.6,472072.33,8.0,3.0,24.0,16.6,0.5021350413664265,0.1126511617016231,0.0302908993861756
19,ADAMS,8314.0,16.0,37.85154408297973,3.10687765205092,8484.0,58535827.0,1531044669.0,1474580.7,7719837.99,74.0,22.0,78.0,18.4,0.5093474861394115,0.4001546804754612,0.423962469791025
163,AIKEN,3038.0,1.0,40.0,2.96,458.0,3425840.0,75259476.0,67875.59999999999,494887.32,,2.0,22.0,21.3,0.4839850703416595,0.4819756486553886,0.065099052540913
164,ALACHUA,1829.0,3.0,30.1,2.91,599.0,8838272.0,150322644.0,152924.7,580377.09,,4.0,9.0,18.9,0.4828644861458296,0.5488512139156553,0.1142097665739534
165,ALAMANCE,2026.0,1.0,38.5,2.98,1022.0,8625860.0,157981782.0,355042.8,444559.78,,,13.0,23.0,0.47930004026016,0.5083272725559465,0.1419425810731884
166,ALAMEDA,12521.0,15.0,,,,,,,,203.0,16.0,15.0,13.6,0.4968308720028336,0.7561773660032944,0.222215264975933
167,ALAMOSA,134.0,1.0,33.1,3.07,117.0,610209.0,1857609.0,2503.8,84631.95,7.0,2.0,2.0,19.8,0.4960221793635487,0.3581064033498772,0.4899349083895853
168,ALBANY,3448.0,5.0,35.94300358790364,2.925868785238339,1951.0,16373029.0,480907072.0,872619.0,2656160.52,6.0,2.0,47.0,19.2,0.4866043298048516,0.5158845904111579,0.0693262742589713
172,ALBEMARLE,567.0,1.0,38.1,2.96,2435.0,9301836.0,245764550.0,331890.5,1768053.5,,,8.0,18.7,0.4808790402849808,0.4303004244967963,0.0605933609233939
173,ALEUTIANS EAST,0.0,,42.0,3.04,29.0,2789.0,91582.0,11.6,204069.81,,,5.0,10.7,,,
174,ALEUTIANS WEST (CA),0.0,,,,,,,,,,,,,,,
175,ALEXANDER,88.0,,40.91961023142509,2.94,821.0,1650113.0,16677942.0,62602.6,210916.0,,1.0,11.0,17.2,0.4843557019349526,0.4995250826094776,0.0259365994236311
179,ALEXANDRIA (CITY),881.0,,,,,,,,,,,,,,,
